File,Line,Snippet
frontend/src/views/components/employers/CompanyForm/index.tsx,104,"const { control, setValue, handleSubmit } = useForm<CompanyFormValues>({"
frontend/src/views/components/employers/CompanyForm/index.tsx,201,"<form id=""company-form"" onSubmit={handleSubmit(handleUpdate)}>"
frontend/src/views/components/employers/InterviewCreateCard/index.tsx,20,"import { useForm, useWatch } from 'react-hook-form';"
frontend/src/views/components/employers/InterviewCreateCard/index.tsx,100,"const { control, handleSubmit, watch, setValue, formState: { errors } } = useForm<FormValues>({"
frontend/src/views/components/employers/InterviewCreateCard/index.tsx,237,onSubmit={onSubmit}
frontend/src/views/components/employers/InterviewCreateCard/InterviewCreateCardForm.tsx,160,<form onSubmit={handleSubmit(onSubmit)}>
frontend/src/views/components/employers/InterviewDetailCard/index.tsx,407,onSubmit={submitHRInfo}
frontend/src/views/components/employers/JobPostFilterForm/index.tsx,2,import { useForm } from 'react-hook-form';
frontend/src/views/components/employers/JobPostFilterForm/index.tsx,32,} = useForm<JobPostFilterFormValues>({
frontend/src/views/components/employers/JobPostFilterForm/index.tsx,43,<form onSubmit={handleSubmit(handleFilter)}>
frontend/src/views/components/employers/JobPostForm/index.tsx,2,"import { useForm, useWatch, Resolver } from 'react-hook-form';"
frontend/src/views/components/employers/JobPostForm/index.tsx,94,"const { handleSubmit, control, setValue } = useForm<JobPostFormValues>({"
frontend/src/views/components/employers/JobPostForm/index.tsx,186,"<form id=""modal-form"" onSubmit={handleSubmit(handleAddOrUpdate)}>"
frontend/src/views/components/employers/ManualCandidateForm/index.tsx,5,import { useForm } from 'react-hook-form';
frontend/src/views/components/employers/ManualCandidateForm/index.tsx,183,"const { control, handleSubmit } = useForm<ManualCandidateFormValues>({"
frontend/src/views/components/employers/ManualCandidateForm/index.tsx,209,<form id={formId} onSubmit={handleSubmit(onSubmit)}>
frontend/src/views/components/employers/ProfileSearch/index.tsx,5,import { useForm } from 'react-hook-form';
frontend/src/views/components/employers/ProfileSearch/index.tsx,55,control: ReturnType<typeof useForm<ProfileSearchValues>>['control'];
frontend/src/views/components/employers/ProfileSearch/index.tsx,107,"const { control, reset, handleSubmit } = useForm<ProfileSearchValues>();"
frontend/src/views/components/employers/ProfileSearch/index.tsx,135,"<Grid container spacing={2} component=""form"" onSubmit={handleSubmit(handleFilter)} alignItems=""cente"
frontend/src/views/components/employers/SavedResumeFilterForm/index.tsx,3,import { useForm } from 'react-hook-form';
frontend/src/views/components/employers/SavedResumeFilterForm/index.tsx,38,} = useForm<SavedResumeFilterValues>({
frontend/src/views/components/employers/SavedResumeFilterForm/index.tsx,55,<form onSubmit={handleSubmit(handleFilter)}>
frontend/src/views/components/employers/SendMailCard/index.tsx,4,import { useForm } from 'react-hook-form';
frontend/src/views/components/employers/SendMailCard/index.tsx,82,"const { control, handleSubmit } = useForm<SendMailFormData>({"
frontend/src/views/components/employers/SendMailCard/index.tsx,104,"<form id=""modal-form"" onSubmit={handleSubmit(handleSendEmail)}>"
frontend/src/views/components/jobSeekers/AdvancedSkillForm/index.tsx,4,import { useForm } from 'react-hook-form';
frontend/src/views/components/jobSeekers/AdvancedSkillForm/index.tsx,69,"const { control, setError, handleSubmit } = useForm<FormValues>({"
frontend/src/views/components/jobSeekers/AdvancedSkillForm/index.tsx,99,"<form id=""modal-form"" onSubmit={handleSubmit(handleAddOrUpdate)}>"
frontend/src/views/components/jobSeekers/CandidateProfile/CandidateEditProfileModal.tsx,181,<form onSubmit={handleSubmit}>
frontend/src/views/components/jobSeekers/CertificateForm/index.tsx,3,import { useForm } from 'react-hook-form';
frontend/src/views/components/jobSeekers/CertificateForm/index.tsx,71,"const { control, setError, handleSubmit } = useForm<FormValues>({"
frontend/src/views/components/jobSeekers/CertificateForm/index.tsx,88,"<form id=""modal-form"" onSubmit={handleSubmit(handleAddOrUpdate)}>"
frontend/src/views/components/jobSeekers/CVForm/index.tsx,3,import { useForm } from 'react-hook-form';
frontend/src/views/components/jobSeekers/CVForm/index.tsx,72,"const { control, handleSubmit } = useForm<FormValues>({"
frontend/src/views/components/jobSeekers/CVForm/index.tsx,88,"<form id=""modal-form"" onSubmit={handleSubmit(handleUpdate)}>"
frontend/src/views/components/jobSeekers/EducationDetailForm/index.tsx,4,import { useForm } from 'react-hook-form';
frontend/src/views/components/jobSeekers/EducationDetailForm/index.tsx,88,"const { control, handleSubmit } = useForm<FormValues>({"
frontend/src/views/components/jobSeekers/EducationDetailForm/index.tsx,96,"<form id=""modal-form"" onSubmit={handleSubmit(handleAddOrUpdate)}>"
frontend/src/views/components/jobSeekers/ExperienceDetailForm/index.tsx,3,import { useForm } from 'react-hook-form';
frontend/src/views/components/jobSeekers/ExperienceDetailForm/index.tsx,84,"const { control, handleSubmit } = useForm<FormValues>({"
frontend/src/views/components/jobSeekers/ExperienceDetailForm/index.tsx,90,"<form id=""modal-form"" onSubmit={handleSubmit(handleAddOrUpdate)}>"
frontend/src/views/components/jobSeekers/GeneralInfoForm/index.tsx,3,import { useForm } from 'react-hook-form';
frontend/src/views/components/jobSeekers/GeneralInfoForm/index.tsx,62,"const { control, handleSubmit } = useForm<GeneralInfoFormValues>({"
frontend/src/views/components/jobSeekers/GeneralInfoForm/index.tsx,84,"<form id=""modal-form"" onSubmit={handleSubmit(handleUpdate)}>"
frontend/src/views/components/jobSeekers/JobPostNotificationForm/index.tsx,3,import { useForm } from 'react-hook-form';
frontend/src/views/components/jobSeekers/JobPostNotificationForm/index.tsx,104,"const { control, handleSubmit } = useForm<JobPostNotificationFormValues>({"
frontend/src/views/components/jobSeekers/JobPostNotificationForm/index.tsx,110,"<form id=""modal-form"" onSubmit={handleSubmit(handleAddOrUpdate)}>"
frontend/src/views/components/jobSeekers/LanguageSkillForm/index.tsx,3,import { useForm } from 'react-hook-form';
frontend/src/views/components/jobSeekers/LanguageSkillForm/index.tsx,62,"const { control, setError, handleSubmit } = useForm<FormValues>({"
frontend/src/views/components/jobSeekers/LanguageSkillForm/index.tsx,79,"<form id=""modal-form"" onSubmit={handleSubmit(handleAddOrUpdate)}>"
frontend/src/views/components/jobSeekers/PersonalProfileForm/index.tsx,3,import { useForm } from 'react-hook-form';
frontend/src/views/components/jobSeekers/PersonalProfileForm/index.tsx,77,"const { control, reset, handleSubmit, setValue } = useForm<PersonalProfileFormValues>({"
frontend/src/views/components/jobSeekers/PersonalProfileForm/index.tsx,109,"<form id=""modal-form"" onSubmit={handleSubmit(handleUpdateProfile)}>"
frontend/src/views/components/jobSeekers/ProfileUploadForm/index.tsx,3,import { useForm } from 'react-hook-form';
frontend/src/views/components/jobSeekers/ProfileUploadForm/index.tsx,217,"const { control, handleSubmit } = useForm<FormValues>({"
frontend/src/views/components/jobSeekers/ProfileUploadForm/index.tsx,222,"<form id=""modal-form"" onSubmit={handleSubmit(handleAdd)}>"
frontend/src/views/components/settings/SettingForm/index.tsx,4,import { useForm } from 'react-hook-form';
frontend/src/views/components/settings/SettingForm/index.tsx,29,"const { control, reset, handleSubmit } = useForm<FormValues>({"
frontend/src/views/components/settings/SettingForm/index.tsx,38,"<form id=""setting-form"" onSubmit={handleSubmit(handleUpdate)}>"
frontend/src/views/defaultPages/StaticInfoPage/index.tsx,145,"<Stack spacing={2.5} component=""form"" onSubmit={handleSubmit}>"
frontend/src/views/employerPages/VerificationPage/index.tsx,203,onSubmit={handleSaveLegalProfile}
frontend/src/views/employerPages/VerificationPage/components/VerificationLegalProfileForm.tsx,108,"<Box component=""form"" onSubmit={onSubmit}>"
frontend/src/views/interviewPages/AIInterviewLayout.tsx,582,onSubmit={(event: React.FormEvent<HTMLFormElement>) => {
frontend/src/utils/formHelpers.ts,23,* ✅ keeps type safety at the consumer level (useForm<T> still validates)
frontend/src/utils/formHelpers.ts,27,* const { control } = useForm<MyFormValues>({
